source_report,report_date,commodity,variety,organic,market_location,district,package,grade,size_description,low_price,high_price,mostly_low,mostly_high,demand,market_tone,supply_tone,commodity_comments
IX_FV110,05/18/2026,Grapes,FLAME SEEDLESS,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large,16.95,20.95,,,"White Seedless Type moderate, others fairly light.",About Steady,,Extra services included. White Seedless Type being reported are Early Sweets variety. Wide range in price. Many present shipments from prior bookings and/or previous commitments at higher prices.
IX_FV110,05/18/2026,Grapes,FLAME SEEDLESS,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,14.95,16.95,,,"White Seedless Type moderate, others fairly light.",About Steady,,Extra services included. White Seedless Type being reported are Early Sweets variety. Wide range in price. Many present shipments from prior bookings and/or previous commitments at higher prices.
IX_FV110,05/18/2026,Grapes,PERLETTE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,14.95,16.95,,,"White Seedless Type moderate, others fairly light.",About Steady,,Extra services included. White Seedless Type being reported are Early Sweets variety. Wide range in price. Many present shipments from prior bookings and/or previous commitments at higher prices.
IX_FV110,05/18/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 60 count,140,175,147,168,MODERATE,Slightly Higher,,Extra services included.
IX_FV110,05/18/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,6s,12.95,14.95,,,MODERATE,Slightly Higher,,Extra services included.
IX_FV110,05/18/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,8s,12.95,14.95,,,MODERATE,Slightly Higher,,Extra services included.
IX_FV110,05/18/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,9s,10.95,12.95,,,MODERATE,Slightly Higher,,Extra services included.
IX_FV110,05/18/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 36 count,120,154,133,147,MODERATE,Slightly Higher,,Extra services included.
IX_FV110,05/18/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 45 count,140,175,147,168,MODERATE,Slightly Higher,,Extra services included.
IX_FV110,05/18/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,8s,5,6,,,MODERATE,Slightly Higher,,Extra services included.
IX_FV110,05/18/2026,Grapes,SUMMER ROYAL,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large-extra large,20.95,24.95,,,"White Seedless Type moderate, others fairly light.",About Steady,,Extra services included. White Seedless Type being reported are Early Sweets variety. Wide range in price. Many present shipments from prior bookings and/or previous commitments at higher prices.
IX_FV110,05/18/2026,Grapes,SUMMER ROYAL,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,18.95,20.95,,,"White Seedless Type moderate, others fairly light.",About Steady,,Extra services included. White Seedless Type being reported are Early Sweets variety. Wide range in price. Many present shipments from prior bookings and/or previous commitments at higher prices.
