Liquidation Date,Season,Liq #,Distributor,Grower Entity,Crop,Variety,USDA Bucket,Size,Quality,Pack Style,Boxes Invoiced,Sale Amount USD,Realized $/Box,Source File,Notes
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2160.0,73003.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,90.0,3330.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1800.0,66910.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1530.0,59278.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,90.0,3330.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1890.0,67500.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1800.0,69075.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2070.0,75870.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1980.0,74524.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1800.0,59589.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,180.0,5409.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1170.0,41670.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,900.0,26100.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,180.0,5409.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2070.0,83939.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,90.0,2704.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2160.0,72135.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2160.0,80361.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2520.0,91800.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2520.0,88740.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1800.0,52717.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1800.0,61290.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,2160.0,65331.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1800.0,64530.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1620.0,46980.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2340.0,73890.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2070.0,64077.45,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2160.0,81891.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2160.0,69310.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,1800.0,59008.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1080.0,39785.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,540.0,18922.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,900.0,26010.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,1440.0,41224.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2340.0,77616.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2160.0,68895.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2160.0,66654.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,2160.0,55134.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2160.0,86557.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2340.0,67860.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,2160.0,57654.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1980.0,55237.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1800.0,57690.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2160.0,62595.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1620.0,47340.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,90.0,2530.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,2070.0,54175.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,2340.0,73093.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2520.0,65790.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2340.0,68625.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2340.0,70339.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,2160.0,57172.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1710.0,54295.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,S. ROYAL,BLACK SEEDLESS,P30,,,810.0,25650.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,2340.0,64332.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,S. ROYAL,BLACK SEEDLESS,P30,,,2520.0,74083.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-19,2025,1.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2340.0,65542.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-26,2025,2.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2160.0,86760.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-26,2025,2.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,2340.0,81045.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-26,2025,2.0,Giumarra,EFSI,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,1170.0,32978.75,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-26,2025,2.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,630.0,17640.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-26,2025,2.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P40,,,2160.0,53280.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-26,2025,2.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1710.0,49162.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-26,2025,2.0,Giumarra,VIDEXPORT,Grape,ARRA 30,WHITE SEEDLESS TYPE,P30,,,2340.0,72189.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-26,2025,2.0,Giumarra,VIDEXPORT,Grape,ARRA 30,WHITE SEEDLESS TYPE,P30,,,2340.0,71118.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-26,2025,2.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P30,,,1980.0,53460.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-26,2025,2.0,Giumarra,VIDEXPORT,Grape,ARRA 33,WHITE SEEDLESS TYPE,P30,,,1350.0,48006.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-26,2025,2.0,Giumarra,VIDEXPORT,Grape,EARLY SWEET,WHITE SEEDLESS TYPE,P50,,,810.0,24876.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-26,2025,2.0,Giumarra,VIDEXPORT,Grape,ARRA 30,WHITE SEEDLESS TYPE,P30,,,2520.0,81270.0,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
2025-05-26,2025,2.0,Giumarra,VIDEXPORT,Grape,ARRA 30,WHITE SEEDLESS TYPE,P30,,,2520.0,81292.5,,Invoice_Grape_Giumarra_1.xlsx [pre-loaded],Date estimated from Liq# until Giumarra provides actuals
